run_id,seed,execution_path,condition,attack,rounds,num_clients,malicious_client_id,partition_hash,initial_checkpoint_hash,config_hash,status,log_path
s123_sign_flipping_twa_ppa,123,ep_twa-ppa,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
s123_random_noise_byzantine_fedavg,123,ep_0,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_random_noise_byzantine_static_dp,123,ep_sdp,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_random_noise_byzantine_twa,123,ep_twa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_random_noise_byzantine_ppa,123,ep_ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_random_noise_byzantine_sdp_ppa,123,ep_sdp-ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_random_noise_byzantine_twa_ppa,123,ep_twa-ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\random_noise_byzantine\run.log
s123_model_replacement_fedavg,123,ep_0,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\model_replacement\run.log
s123_model_replacement_static_dp,123,ep_sdp,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\model_replacement\run.log
s123_model_replacement_twa,123,ep_twa,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\model_replacement\run.log
