seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_twa,twa,adversarial,label_flipping,27,0.9723333333333334,0.9719176685346232,2.8616666666666672
2025,ep_twa,twa,adversarial,label_flipping,28,0.9743333333333334,0.9739676438410638,2.871666666666667
2025,ep_twa,twa,adversarial,label_flipping,29,0.9736666666666668,0.9732759291276056,2.868333333333334
2025,ep_twa,twa,adversarial,label_flipping,30,0.9726666666666668,0.9723512654600536,2.863333333333334
2025,ep_ppa,ppa,adversarial,label_flipping,1,0.8406666666666667,0.837681240337403,2.203333333333333
2025,ep_ppa,ppa,adversarial,label_flipping,2,0.9493333333333334,0.9498992283895408,2.746666666666667
2025,ep_ppa,ppa,adversarial,label_flipping,3,0.9493333333333334,0.9498075215501712,2.746666666666667
2025,ep_ppa,ppa,adversarial,label_flipping,4,0.966,0.9660655614731128,2.83
2025,ep_ppa,ppa,adversarial,label_flipping,5,0.9756666666666668,0.9756138209842128,2.878333333333334
2025,ep_ppa,ppa,adversarial,label_flipping,6,0.975,0.974773153074711,2.875
2025,ep_ppa,ppa,adversarial,label_flipping,7,0.9713333333333334,0.9709843215993256,2.8566666666666674
2025,ep_ppa,ppa,adversarial,label_flipping,8,0.9686666666666668,0.9681291021665144,2.8433333333333337
2025,ep_ppa,ppa,adversarial,label_flipping,9,0.94,0.9376270295186906,2.6999999999999993
2025,ep_ppa,ppa,adversarial,label_flipping,10,0.9473333333333334,0.9458525412971625,2.7366666666666664
2025,ep_ppa,ppa,adversarial,label_flipping,11,0.9526666666666668,0.9518186488420164,2.7633333333333336
2025,ep_ppa,ppa,adversarial,label_flipping,12,0.9483333333333334,0.9472697132546825,2.741666666666667
2025,ep_ppa,ppa,adversarial,label_flipping,13,0.952,0.9511863784786518,2.76
2025,ep_ppa,ppa,adversarial,label_flipping,14,0.949,0.9482452367325054,2.745
2025,ep_ppa,ppa,adversarial,label_flipping,15,0.9543333333333334,0.9537942186188716,2.7716666666666665
2025,ep_ppa,ppa,adversarial,label_flipping,16,0.9456666666666668,0.9452347933905988,2.7283333333333335
2025,ep_ppa,ppa,adversarial,label_flipping,17,0.951,0.9502481650897996,2.755
2025,ep_ppa,ppa,adversarial,label_flipping,18,0.931,0.931225841170784,2.6550000000000002
2025,ep_ppa,ppa,adversarial,label_flipping,19,0.9333333333333332,0.9336398018845512,2.666666666666666
2025,ep_ppa,ppa,adversarial,label_flipping,20,0.905,0.9066339915117384,2.5250000000000004
2025,ep_ppa,ppa,adversarial,label_flipping,21,0.65,0.6265591599225347,1.25
2025,ep_ppa,ppa,adversarial,label_flipping,22,0.7083333333333334,0.6589151504074925,1.541666666666667
2025,ep_ppa,ppa,adversarial,label_flipping,23,0.5736666666666667,0.5043308976175803,0.8683333333333332
2025,ep_ppa,ppa,adversarial,label_flipping,24,0.5796666666666667,0.5097679309680033,0.8983333333333334
2025,ep_ppa,ppa,adversarial,label_flipping,25,0.5506666666666666,0.4893964621960608,0.753333333333333
2025,ep_ppa,ppa,adversarial,label_flipping,26,0.5633333333333334,0.5031042131500103,0.8166666666666669
2025,ep_ppa,ppa,adversarial,label_flipping,27,0.5366666666666666,0.4796516957296173,0.6833333333333331
2025,ep_ppa,ppa,adversarial,label_flipping,28,0.446,0.3940492266391351,0.22999999999999998
2025,ep_ppa,ppa,adversarial,label_flipping,29,0.422,0.3728981262841295,0.10999999999999988
2025,ep_ppa,ppa,adversarial,label_flipping,30,0.4763333333333333,0.4236747365020368,0.3816666666666664
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,1,0.746,0.6922456813129652,1.73
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,2,0.707,0.701389337699714,1.5349999999999997
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,3,0.8793333333333333,0.8807980592825052,2.3966666666666665
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,4,0.8466666666666667,0.8496784162690596,2.2333333333333334
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,5,0.9163333333333332,0.9152181144822328,2.581666666666666
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,6,0.794,0.7948555994991289,1.9700000000000002
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,7,0.836,0.8316523788981667,2.1799999999999997
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,8,0.933,0.9311860057580796,2.665
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,9,0.9526666666666668,0.9520815231681824,2.7633333333333336
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,10,0.9483333333333334,0.9485047682675752,2.741666666666667
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,11,0.8336666666666667,0.8258817811599211,2.168333333333333
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,12,0.7646666666666667,0.7432243823124747,1.8233333333333337
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,13,0.758,0.7544002461164955,1.79
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,14,0.8593333333333333,0.8575932121206897,2.296666666666667
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,15,0.9043333333333332,0.903024109327926,2.5216666666666665
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,16,0.8556666666666667,0.8518376578289292,2.2783333333333333
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,17,0.7016666666666667,0.6709803309434437,1.5083333333333333
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,18,0.9033333333333332,0.897931951025698,2.5166666666666657
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,19,0.8363333333333334,0.8357537299993512,2.1816666666666666
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,20,0.7676666666666667,0.7279084930285429,1.8383333333333338
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,21,0.8683333333333333,0.8643402199889485,2.341666666666667
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,22,0.4646666666666667,0.448831273909384,0.32333333333333325
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,23,0.688,0.6419370418149049,1.4399999999999995
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,24,0.65,0.6411103946646468,1.25
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,25,0.6333333333333333,0.5644587490057149,1.1666666666666665
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,26,0.4976666666666666,0.4818451694312072,0.48833333333333284
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,27,0.669,0.5831706762940895,1.3450000000000002
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,28,0.6006666666666667,0.521628243136409,1.0033333333333334
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,29,0.693,0.6393217793937618,1.4649999999999999
2025,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,30,0.572,0.4990215485976789,0.8599999999999999
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,1,0.8266666666666667,0.8263237332985603,2.133333333333333
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,2,0.937,0.9375289107093328,2.6850000000000005
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,3,0.95,0.950380007302568,2.75
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,4,0.9543333333333334,0.9544330564593604,2.7716666666666665
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,5,0.971,0.9709880277821484,2.8549999999999995
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,6,0.9756666666666668,0.9754403263330332,2.878333333333334
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,7,0.974,0.9736711623299004,2.87
